Municipio,obitos_p/Residência
150400 LIMOEIRO DO AJURU,77
150405 MAE DO RIO,175
150410 MAGALHAES BARATA,34
150420 MARABA,1243
150430 MARACANA,104
150440 MARAPANIM,120
150442 MARITUBA,555
150445 MEDICILANDIA,106
150450 MELGACO,40
150460 MOCAJUBA,110
150470 MOJU,273
150475 MOJUI DOS CAMPOS,79
150480 MONTE ALEGRE,278
150490 MUANA,129
150495 NOVA ESPERANCA DO PIRIA,68
150497 NOVA IPIXUNA,70
150500 NOVA TIMBOTEUA,62
150503 NOVO PROGRESSO,139
150506 NOVO REPARTIMENTO,226
150510 OBIDOS,224
150520 OEIRAS DO PARA,87
150530 ORIXIMINA,238
150540 OUREM,75
150543 OURILANDIA DO NORTE,123
150548 PACAJA,176
150549 PALESTINA DO PARA,30
150550 PARAGOMINAS,424
150553 PARAUAPEBAS,764
150555 PAU D'ARCO,38
150560 PEIXE-BOI,46
150563 PICARRA,36
150565 PLACAS,78
150570 PONTA DE PEDRAS,69
150580 PORTEL,196
150590 PORTO DE MOZ,86
150600 PRAINHA,87
150610 PRIMAVERA,54
150611 QUATIPURU,35
150613 REDENCAO,476
150616 RIO MARIA,82
150618 RONDON DO PARA,240
150619 RUROPOLIS,90
150620 SALINOPOLIS,185
150630 SALVATERRA,111
150635 SANTA BARBARA DO PARA,94
150640 SANTA CRUZ DO ARARI,29
150650 SANTA IZABEL DO PARA,327
150655 SANTA LUZIA DO PARA,83
150658 SANTA MARIA DAS BARREIRAS,62
150660 SANTA MARIA DO PARA,124
150670 SANTANA DO ARAGUAIA,191
150680 SANTAREM,1574
150690 SANTAREM NOVO,18
150700 SANTO ANTONIO DO TAUA,136
150710 SAO CAETANO DE ODIVELAS,59
150715 SAO DOMINGOS DO ARAGUAIA,111
150720 SAO DOMINGOS DO CAPIM,121
150730 SAO FELIX DO XINGU,275
150740 SAO FRANCISCO DO PARA,100
150745 SAO GERALDO DO ARAGUAIA,125
150746 SAO JOAO DA PONTA,32
150747 SAO JOAO DE PIRABAS,99
150750 SAO JOAO DO ARAGUAIA,58
150760 SAO MIGUEL DO GUAMA,263
150770 SAO SEBASTIAO DA BOA VISTA,60
150775 SAPUCAIA,23
150780 SENADOR JOSE PORFIRIO,42
150790 SOURE,75
150795 TAILANDIA,337
150796 TERRA ALTA,49
150797 TERRA SANTA,58
150800 TOME-ACU,269
150803 TRACUATEUA,150
150805 TRAIRAO,59
150808 TUCUMA,161
150810 TUCURUI,388
150812 ULIANOPOLIS,103
150815 URUARA,197
150820 VIGIA,255
150830 VISEU,200
150835 VITORIA DO XINGU,75
150840 XINGUARA,207
160005 SERRA DO NAVIO,12
160010 AMAPA,17
160015 PEDRA BRANCA DO AMAPARI,27
160020 CALCOENE,34
160021 CUTIAS,6
160023 FERREIRA GOMES,24
160025 ITAUBAL,8
160027 LARANJAL DO JARI,141
160030 MACAPA,1938
160040 MAZAGAO,51
160050 OIAPOQUE,74
160053 PORTO GRANDE,65
160055 PRACUUBA,12
160060 SANTANA,481
160070 TARTARUGALZINHO,27
160080 VITORIA DO JARI,29
170025 ABREULANDIA,17
170030 AGUIARNOPOLIS,29
170035 ALIANCA DO TOCANTINS,29
170040 ALMAS,46
170070 ALVORADA,64
170100 ANANAS,57
170105 ANGICO,18
170110 APARECIDA DO RIO NEGRO,20
170130 ARAGOMINAS,20
170190 ARAGUACEMA,20
170200 ARAGUACU,45
170210 ARAGUAINA,912
170215 ARAGUANA,27
170220 ARAGUATINS,166
170230 ARAPOEMA,32
170240 ARRAIAS,64
170255 AUGUSTINOPOLIS,83
170270 AURORA DO TOCANTINS,19
170290 AXIXA DO TOCANTINS,57
170300 BABACULANDIA,47
170305 BANDEIRANTES DO TOCANTINS,24
170307 BARRA DO OURO,23
170310 BARROLANDIA,28
170320 BERNARDO SAYAO,22
170330 BOM JESUS DO TOCANTINS,22
170360 BRASILANDIA DO TOCANTINS,7
170370 BREJINHO DE NAZARE,34
170380 BURITI DO TOCANTINS,59
170382 CACHOEIRINHA,10
170384 CAMPOS LINDOS,32
170386 CARIRI DO TOCANTINS,15
170388 CARMOLANDIA,12
170389 CARRASCO BONITO,20
170390 CASEARA,20
170410 CENTENARIO,10
170460 CHAPADA DE AREIA,12
170510 CHAPADA DA NATIVIDADE,16
170550 COLINAS DO TOCANTINS,158
170555 COMBINADO,30
170560 CONCEICAO DO TOCANTINS,18
170600 COUTO MAGALHAES,27
170610 CRISTALANDIA,47
170625 CRIXAS DO TOCANTINS,9
170650 DARCINOPOLIS,25
170700 DIANOPOLIS,106
170710 DIVINOPOLIS DO TOCANTINS,30
170720 DOIS IRMAOS DO TOCANTINS,30
170730 DUERE,26
170740 ESPERANTINA,53
170755 FATIMA,22
170765 FIGUEIROPOLIS,45
170770 FILADELFIA,43
170820 FORMOSO DO ARAGUAIA,97
170825 FORTALEZA DO TABOCAO,13
170830 GOIANORTE,20
170900 GOIATINS,63
170930 GUARAI,120
170950 GURUPI,430
170980 IPUEIRAS,11
171050 ITACAJA,39
171070 ITAGUATINS,29
171090 ITAPIRATINS,21
171110 ITAPORA DO TOCANTINS,13
171150 JAU DO TOCANTINS,13
171180 JUARINA,9
171190 LAGOA DA CONFUSAO,52
171195 LAGOA DO TOCANTINS,14
171200 LAJEADO,23
171215 LAVANDEIRA,7
171240 LIZARDA,11
171245 LUZINOPOLIS,14
171250 MARIANOPOLIS DO TOCANTINS,23
171270 MATEIROS,5
171280 MAURILANDIA DO TOCANTINS,16
171320 MIRACEMA DO TOCANTINS,101
171330 MIRANORTE,86
171360 MONTE DO CARMO,31
171370 MONTE SANTO DO TOCANTINS,17
171380 PALMEIRAS DO TOCANTINS,20
171395 MURICILANDIA,18
171420 NATIVIDADE,54
171430 NAZARE,17
171488 NOVA OLINDA,64
171500 NOVA ROSALANDIA,21
171510 NOVO ACORDO,28
171515 NOVO ALEGRE,12
171525 NOVO JARDIM,10
171550 OLIVEIRA DE FATIMA,6
171570 PALMEIRANTE,28
171575 PALMEIROPOLIS,31
171610 PARAISO DO TOCANTINS,261
171620 PARANA,51
171630 PAU D'ARCO,19
