Municipio,obitos_p/Residência
220985 SAO JOAO DA CANABRAVA,36
220987 SAO JOAO DA FRONTEIRA,23
220990 SAO JOAO DA SERRA,31
220995 SAO JOAO DA VARJOTA,32
220997 SAO JOAO DO ARRAIAL,32
221000 SAO JOAO DO PIAUI,115
221005 SAO JOSE DO DIVINO,21
221010 SAO JOSE DO PEIXE,20
221020 SAO JOSE DO PIAUI,49
221030 SAO JULIAO,54
221035 SAO LOURENCO DO PIAUI,27
221037 SAO LUIS DO PIAUI,16
221038 SAO MIGUEL DA BAIXA GRANDE,15
221039 SAO MIGUEL DO FIDALGO,14
221040 SAO MIGUEL DO TAPUIO,92
221050 SAO PEDRO DO PIAUI,93
221060 SAO RAIMUNDO NONATO,185
221062 SEBASTIAO BARROS,11
221063 SEBASTIAO LEAL,15
221065 SIGEFREDO PACHECO,48
221070 SIMOES,83
221080 SIMPLICIO MENDES,93
221090 SOCORRO DO PIAUI,30
221093 SUSSUAPARA,38
221095 TAMBORIL DO PIAUI,17
221097 TANQUE DO PIAUI,14
221100 TERESINA,5163
221110 UNIAO,266
221120 URUCUI,115
221130 VALENCA DO PIAUI,177
221135 VARZEA BRANCA,24
221140 VARZEA GRANDE,33
221150 VERA MENDES,25
221160 VILA NOVA DO PIAUI,29
221170 WALL FERRAZ,17
230010 ABAIARA,55
230015 ACARAPE,86
230020 ACARAU,369
230030 ACOPIARA,336
230040 AIUABA,78
230050 ALCANTARAS,82
230060 ALTANEIRA,65
230070 ALTO SANTO,86
230075 AMONTADA,214
230080 ANTONINA DO NORTE,36
230090 APUIARES,87
230100 AQUIRAZ,444
230110 ARACATI,460
230120 ARACOIABA,190
230125 ARARENDA,81
230130 ARARIPE,139
230140 ARATUBA,71
230150 ARNEIROZ,60
230160 ASSARE,127
230170 AURORA,158
230180 BAIXIO,42
230185 BANABUIU,92
230190 BARBALHA,419
230195 BARREIRA,140
230200 BARRO,156
230205 BARROQUINHA,84
230210 BATURITE,204
230220 BEBERIBE,299
230230 BELA CRUZ,172
230240 BOA VIAGEM,357
230250 BREJO SANTO,299
230260 CAMOCIM,393
230270 CAMPOS SALES,214
230280 CANINDE,477
230290 CAPISTRANO,111
230300 CARIDADE,101
230310 CARIRE,124
230320 CARIRIACU,175
230330 CARIUS,120
230340 CARNAUBAL,86
230350 CASCAVEL,393
230360 CATARINA,72
230365 CATUNDA,46
230370 CAUCAIA,1791
230380 CEDRO,173
230390 CHAVAL,87
230393 CHORO,68
230395 CHOROZINHO,133
230400 COREAU,133
230410 CRATEUS,532
230420 CRATO,852
230423 CROATA,125
230425 CRUZ,163
230426 DEPUTADO IRAPUAN PINHEIRO,65
230427 ERERE,41
230428 EUSEBIO,304
230430 FARIAS BRITO,133
230435 FORQUILHA,113
230440 FORTALEZA,16299
230445 FORTIM,75
230450 FRECHEIRINHA,101
230460 GENERAL SAMPAIO,38
230465 GRACA,92
230470 GRANJA,284
230480 GRANJEIRO,16
230490 GROAIRAS,88
230495 GUAIUBA,152
230500 GUARACIABA DO NORTE,272
230510 GUARAMIRANGA,45
230520 HIDROLANDIA,148
230523 HORIZONTE,360
230526 IBARETAMA,81
230530 IBIAPINA,165
230533 IBICUITINGA,71
230535 ICAPUI,107
230540 ICO,450
230550 IGUATU,663
230560 INDEPENDENCIA,209
230565 IPAPORANGA,90
230570 IPAUMIRIM,77
230580 IPU,270
230590 IPUEIRAS,332
230600 IRACEMA,116
230610 IRAUCUBA,124
230620 ITAICABA,45
230625 ITAITINGA,264
230630 ITAPAGE,280
230640 ITAPIPOCA,660
230650 ITAPIUNA,105
230655 ITAREMA,204
230660 ITATIRA,121
230670 JAGUARETAMA,130
230680 JAGUARIBARA,73
230690 JAGUARIBE,248
230700 JAGUARUANA,212
230710 JARDIM,173
230720 JATI,59
230725 JIJOCA DE JERICOACOARA,84
230730 JUAZEIRO DO NORTE,1761
230740 JUCAS,182
230750 LAVRAS DA MANGABEIRA,210
230760 LIMOEIRO DO NORTE,387
230763 MADALENA,104
230765 MARACANAU,1270
230770 MARANGUAPE,622
230780 MARCO,157
230790 MARTINOPOLE,58
230800 MASSAPE,205
230810 MAURITI,301
230820 MERUOCA,67
230830 MILAGRES,183
230835 MILHA,130
230837 MIRAIMA,66
230840 MISSAO VELHA,205
230850 MOMBACA,339
230860 MONSENHOR TABOSA,118
230870 MORADA NOVA,445
230880 MORAUJO,44
230890 MORRINHOS,111
230900 MUCAMBO,133
230910 MULUNGU,56
230920 NOVA OLINDA,97
230930 NOVA RUSSAS,303
230940 NOVO ORIENTE,196
230945 OCARA,142
230950 OROS,163
230960 PACAJUS,360
230970 PACATUBA,364
230980 PACOTI,74
230990 PACUJA,53
231000 PALHANO,61
231010 PALMACIA,65
231020 PARACURU,212
231025 PARAIPABA,179
231030 PARAMBU,241
231040 PARAMOTI,80
231050 PEDRA BRANCA,289
231060 PENAFORTE,48
231070 PENTECOSTE,217
231080 PEREIRO,111
231085 PINDORETAMA,167
231090 PIQUET CARNEIRO,135
231095 PIRES FERREIRA,55
231100 PORANGA,83
231110 PORTEIRAS,117
231120 POTENGI,75
231123 POTIRETAMA,43
231126 QUITERIANOPOLIS,124
231130 QUIXADA,547
231135 QUIXELO,105
231140 QUIXERAMOBIM,503
231150 QUIXERE,116
231160 REDENCAO,214
231170 RERIUTABA,142
231180 RUSSAS,450
231190 SABOEIRO,104
231195 SALITRE,81
231200 SANTANA DO ACARAU,149
231210 SANTANA DO CARIRI,112
231220 SANTA QUITERIA,302
231230 SAO BENEDITO,347
231240 SAO GONCALO DO AMARANTE,283
231250 SAO JOAO DO JAGUARIBE,66
231260 SAO LUIS DO CURU,79
231270 SENADOR POMPEU,213
231280 SENADOR SA,34
231290 SOBRAL,1172
231300 SOLONOPOLE,129
231310 TABULEIRO DO NORTE,209
231320 TAMBORIL,183
231325 TARRAFAS,46
231330 TAUA,389
231335 TEJUCUOCA,83
231340 TIANGUA,424
231350 TRAIRI,249
231355 TURURU,100
231360 UBAJARA,221
231370 UMARI,56
231375 UMIRIM,132
231380 URUBURETAMA,128
231390 URUOCA,66
231395 VARJOTA,123
231400 VARZEA ALEGRE,258
231410 VICOSA DO CEARA,333
240010 ACARI,83
240020 ACU,273
240030 AFONSO BEZERRA,59
240040 AGUA NOVA,16
240050 ALEXANDRIA,73
240060 ALMINO AFONSO,28
240070 ALTO DO RODRIGUES,70
240080 ANGICOS,50
240090 ANTONIO MARTINS,54
240100 APODI,208
240110 AREIA BRANCA,167
240120 ARES,75
240130 AUGUSTO SEVERO,60
240140 BAIA FORMOSA,51
240145 BARAUNA,155
240150 BARCELONA,35
240160 BENTO FERNANDES,21
240165 BODO,8
240170 BOM JESUS,70
240180 BREJINHO,68
240185 CAICARA DO NORTE,30
240190 CAICARA DO RIO DO VENTO,23
240200 CAICO,429
240210 CAMPO REDONDO,56
240220 CANGUARETAMA,202
240230 CARAUBAS,141
240240 CARNAUBA DOS DANTAS,60
240250 CARNAUBAIS,53
240260 CEARA-MIRIM,468
240270 CERRO CORA,70
240280 CORONEL EZEQUIEL,27
240290 CORONEL JOAO PESSOA,35
240300 CRUZETA,69
240310 CURRAIS NOVOS,316
240320 DOUTOR SEVERIANO,59
240325 PARNAMIRIM,1134
240330 ENCANTO,39
240340 EQUADOR,34
240350 ESPIRITO SANTO,44
240360 EXTREMOZ,170
240370 FELIPE GUERRA,41
240375 FERNANDO PEDROZA,25
240380 FLORANIA,66
240390 FRANCISCO DANTAS,23
240400 FRUTUOSO GOMES,27
240410 GALINHOS,7
240420 GOIANINHA,143
240430 GOVERNADOR DIX-SEPT ROSADO,82
240440 GROSSOS,75
240450 GUAMARE,94
240460 IELMO MARINHO,59
240470 IPANGUACU,63
240480 IPUEIRA,21
240485 ITAJA,35
240490 ITAU,38
240500 JACANA,68
240510 JANDAIRA,33
240520 JANDUIS,30
240530 JANUARIO CICCO,61
240540 JAPI,35
240550 JARDIM DE ANGICOS,16
240560 JARDIM DE PIRANHAS,94
240570 JARDIM DO SERIDO,109
240580 JOAO CAMARA,206
240590 JOAO DIAS,17
240600 JOSE DA PENHA,54
240610 JUCURUTU,148
240615 JUNDIA,17
240620 LAGOA D'ANTA,25
240630 LAGOA DE PEDRAS,45
240640 LAGOA DE VELHOS,24
240650 LAGOA NOVA,90
240660 LAGOA SALGADA,57
240670 LAJES,68
240680 LAJES PINTADAS,30
240690 LUCRECIA,29
240700 LUIS GOMES,66
240710 MACAIBA,460
240720 MACAU,186
240725 MAJOR SALES,29
240730 MARCELINO VIEIRA,53
240740 MARTINS,70
240750 MAXARANGUAPE,59
240760 MESSIAS TARGINO,37
240770 MONTANHAS,59
240780 MONTE ALEGRE,105
240790 MONTE DAS GAMELEIRAS,14
240800 MOSSORO,1654
240810 NATAL,5124
240820 NISIA FLORESTA,143
240830 NOVA CRUZ,268
240840 OLHO-D'AGUA DO BORGES,37
240850 OURO BRANCO,31
240860 PARANA,35
240870 PARAU,29
240880 PARAZINHO,29
240890 PARELHAS,170
240895 RIO DO FOGO,60
240910 PASSA E FICA,75
240920 PASSAGEM,21
240930 PATU,88
240933 SANTA MARIA,31
240940 PAU DOS FERROS,162
240950 PEDRA GRANDE,17
240960 PEDRA PRETA,10
240970 PEDRO AVELINO,43
240980 PEDRO VELHO,97
240990 PENDENCIAS,75
241000 PILOES,24
241010 POCO BRANCO,72
241020 PORTALEGRE,48
241025 PORTO DO MANGUE,25
241030 SERRA CAIADA,65
241040 PUREZA,49
241050 RAFAEL FERNANDES,31
241060 RAFAEL GODEIRO,28
241070 RIACHO DA CRUZ,20
241080 RIACHO DE SANTANA,28
241090 RIACHUELO,36
241100 RODOLFO FERNANDES,34
241105 TIBAU,31
241110 RUY BARBOSA,17
241120 SANTA CRUZ,246
241140 SANTANA DO MATOS,63
241142 SANTANA DO SERIDO,9
241150 SANTO ANTONIO,153
241160 SAO BENTO DO NORTE,21
241170 SAO BENTO DO TRAIRI,23
241180 SAO FERNANDO,19
241190 SAO FRANCISCO DO OESTE,29
241200 SAO GONCALO DO AMARANTE,507
241210 SAO JOAO DO SABUGI,47
241220 SAO JOSE DE MIPIBU,291
241230 SAO JOSE DO CAMPESTRE,78
241240 SAO JOSE DO SERIDO,26
241250 SAO MIGUEL,182
241255 SAO MIGUEL DO GOSTOSO,33
241260 SAO PAULO DO POTENGI,106
241270 SAO PEDRO,26
241280 SAO RAFAEL,67
241290 SAO TOME,68
241300 SAO VICENTE,44
241310 SENADOR ELOI DE SOUZA,37
241320 SENADOR GEORGINO AVELINO,17
241330 SERRA DE SAO BENTO,25
241335 SERRA DO MEL,37
241340 SERRA NEGRA DO NORTE,57
241350 SERRINHA,46
241355 SERRINHA DOS PINTOS,26
241360 SEVERIANO MELO,43
241370 SITIO NOVO,38
241380 TABOLEIRO GRANDE,6
241390 TAIPU,61
241400 TANGARA,115
241410 TENENTE ANANIAS,70
241415 TENENTE LAURENTINO CRUZ,26
241420 TIBAU DO SUL,61
241430 TIMBAUBA DOS BATISTAS,16
241440 TOUROS,134
241445 TRIUNFO POTIGUAR,21
241450 UMARIZAL,72
241460 UPANEMA,71
241470 VARZEA,31
241475 VENHA-VER,20
241480 VERA CRUZ,79
241490 VICOSA,6
241500 VILA FLOR,17
250010 AGUA BRANCA,61
250020 AGUIAR,42
250030 ALAGOA GRANDE,244
250040 ALAGOA NOVA,120
250050 ALAGOINHA,108
250053 ALCANTIL,35
250057 ALGODAO DE JANDAIRA,15
250060 ALHANDRA,133
250070 SAO JOAO DO RIO DO PEIXE,152
250073 AMPARO,19
250077 APARECIDA,55
250080 ARACAGI,126
250090 ARARA,126
250100 ARARUNA,65
250110 AREIA,169
250115 AREIA DE BARAUNAS,7
250120 AREIAL,44
250130 AROEIRAS,158
250135 ASSUNCAO,26
250140 BAIA DA TRAICAO,46
250150 BANANEIRAS,142
250153 BARAUNA,32
250157 BARRA DE SANTANA,69
250160 BARRA DE SANTA ROSA,82
250170 BARRA DE SAO MIGUEL,41
250180 BAYEUX,618
250190 BELEM,138
250200 BELEM DO BREJO DO CRUZ,41
250205 BERNARDINO BATISTA,9
250210 BOA VENTURA,35
250215 BOA VISTA,45
250220 BOM JESUS,28
250230 BOM SUCESSO,31
250240 BONITO DE SANTA FE,69
250250 BOQUEIRAO,111
250260 IGARACY,43
250270 BORBOREMA,27
250280 BREJO DO CRUZ,104
250290 BREJO DOS SANTOS,35
250300 CAAPORA,117
250310 CABACEIRAS,30
250320 CABEDELO,336
250330 CACHOEIRA DOS INDIOS,73
250340 CACIMBA DE AREIA,19
250350 CACIMBA DE DENTRO,120
250355 CACIMBAS,47
250360 CAICARA,57
250370 CAJAZEIRAS,469
250375 CAJAZEIRINHAS,16
250380 CALDAS BRANDAO,43
250390 CAMALAU,43
250400 CAMPINA GRANDE,2847
250403 CAPIM,37
250407 CARAUBAS,28
250410 CARRAPATEIRA,13
250415 CASSERENGUE,55
250420 CATINGUEIRA,36
250430 CATOLE DO ROCHA,213
250435 CATURITE,22
250440 CONCEICAO,101
250450 CONDADO,65
250460 CONDE,136
250470 CONGO,48
250480 COREMAS,115
250485 COXIXOLA,17
250490 CRUZ DO ESPIRITO SANTO,90
250500 CUBATI,47
250510 CUITE,185
250520 CUITEGI,41
250523 CUITE DE MAMANGUAPE,49
250527 CURRAL DE CIMA,43
250530 CURRAL VELHO,15
250535 DAMIAO,24
250540 DESTERRO,66
250550 VISTA SERRANA,22
250560 DIAMANTE,37
250570 DONA INES,71
250580 DUAS ESTRADAS,22
250590 EMAS,22
250600 ESPERANCA,251
250610 FAGUNDES,75
250620 FREI MARTINHO,20
250625 GADO BRAVO,39
250630 GUARABIRA,399
250640 GURINHEM,105
250650 GURJAO,28
250660 IBIARA,39
250670 IMACULADA,57
250680 INGA,140
250690 ITABAIANA,198
250700 ITAPORANGA,178
250710 ITAPOROROCA,99
250720 ITATUBA,71
250730 JACARAU,109
250740 JERICO,53
250750 JOAO PESSOA,4914
250760 JUAREZ TAVORA,65
250770 JUAZEIRINHO,111
250780 JUNCO DO SERIDO,38
250790 JURIPIRANGA,93
250800 JURU,58
250810 LAGOA,28
250820 LAGOA DE DENTRO,58
250830 LAGOA SECA,180
250840 LASTRO,13
250850 LIVRAMENTO,57
250855 LOGRADOURO,23
250860 LUCENA,62
250870 MAE D'AGUA,21
250880 MALTA,42
250890 MAMANGUAPE,292
250900 MANAIRA,56
250905 MARCACAO,50
250910 MARI,152
250915 MARIZOPOLIS,52
250920 MASSARANDUBA,75
250930 MATARACA,43
250933 MATINHAS,24
250937 MATO GROSSO,21
250939 MATUREIA,46
250940 MOGEIRO,57
250950 MONTADAS,32
250960 MONTE HOREBE,31
250970 MONTEIRO,290
250980 MULUNGU,62
250990 NATUBA,43
251000 NAZAREZINHO,55
251010 NOVA FLORESTA,80
251020 NOVA OLINDA,30
251030 NOVA PALMEIRA,27
251040 OLHO D'AGUA,32
251050 OLIVEDOS,24
251060 OURO VELHO,24
251065 PARARI,14
251070 PASSAGEM,29
251080 PATOS,751
251090 PAULISTA,72
251100 PEDRA BRANCA,25
251110 PEDRA LAVRADA,40
251120 PEDRAS DE FOGO,168
251130 PIANCO,107
251140 PICUI,130
251150 PILAR,88
251160 PILOES,48
251170 PILOEZINHOS,36
251180 PIRPIRITUBA,82
251190 PITIMBU,80
251200 POCINHOS,124
251203 POCO DANTAS,19
251207 POCO DE JOSE DE MOURA,35
251210 POMBAL,229
251220 PRATA,22
251230 PRINCESA ISABEL,132
251240 PUXINANA,77
251250 QUEIMADAS,314
251260 QUIXABA,17
251270 REMIGIO,162
251272 PEDRO REGIS,35
251274 RIACHAO,21
251275 RIACHAO DO BACAMARTE,33
251276 RIACHAO DO POCO,30
251278 RIACHO DE SANTO ANTONIO,7
251280 RIACHO DOS CAVALOS,51
251290 RIO TINTO,177
251300 SALGADINHO,14
251310 SALGADO DE SAO FELIX,73
251315 SANTA CECILIA,38
251320 SANTA CRUZ,56
251330 SANTA HELENA,48
251335 SANTA INES,12
251340 SANTA LUZIA,87
251350 SANTANA DE MANGUEIRA,30
251360 SANTANA DOS GARROTES,51
251365 JOCA CLAUDINO,12
251370 SANTA RITA,939
251380 SANTA TERESINHA,36
251385 SANTO ANDRE,28
251390 SAO BENTO,179
251392 SAO BENTINHO,17
251394 SAO DOMINGOS DO CARIRI,16
251396 SAO DOMINGOS,23
251398 SAO FRANCISCO,24
251400 SAO JOAO DO CARIRI,39
251410 SAO JOAO DO TIGRE,29
251420 SAO JOSE DA LAGOA TAPADA,47
251430 SAO JOSE DE CAIANA,32
251440 SAO JOSE DE ESPINHARAS,24
251445 SAO JOSE DOS RAMOS,37
251450 SAO JOSE DE PIRANHAS,147
251455 SAO JOSE DE PRINCESA,19
251460 SAO JOSE DO BONFIM,26
251465 SAO JOSE DO BREJO DO CRUZ,8
251470 SAO JOSE DO SABUGI,18
251480 SAO JOSE DOS CORDEIROS,21
251490 SAO MAMEDE,62
251500 SAO MIGUEL DE TAIPU,54
251510 SAO SEBASTIAO DE LAGOA DE ROCA,79
251520 SAO SEBASTIAO DO UMBUZEIRO,18
251530 SAPE,365
251540 SAO VICENTE DO SERIDO,46
251550 SERRA BRANCA,115
251560 SERRA DA RAIZ,19
251570 SERRA GRANDE,11
251580 SERRA REDONDA,60
251590 SERRARIA,48
251593 SERTAOZINHO,35
251597 SOBRADO,37
251600 SOLANEA,239
251610 SOLEDADE,109
251615 SOSSEGO,20
251620 SOUSA,511
251630 SUME,126
251640 TACIMA,67
251650 TAPEROA,106
251660 TAVARES,92
251670 TEIXEIRA,85
251675 TENORIO,23
251680 TRIUNFO,51
251690 UIRAUNA,108
251700 UMBUZEIRO,53
251710 VARZEA,19
251720 VIEIROPOLIS,36
251740 ZABELE,9
260005 ABREU E LIMA,716
260010 AFOGADOS DA INGAZEIRA,283
260020 AFRANIO,103
260030 AGRESTINA,205
260040 AGUA PRETA,195
260050 AGUAS BELAS,352
260060 ALAGOINHA,116
260070 ALIANCA,267
260080 ALTINHO,210
260090 AMARAJI,125
260100 ANGELIM,84
260105 ARACOIABA,108
260110 ARARIPINA,499
260120 ARCOVERDE,584
260130 BARRA DE GUABIRABA,97
260140 BARREIROS,313
260150 BELEM DE MARIA,83
260160 BELEM DE SAO FRANCISCO,122
260170 BELO JARDIM,693
260180 BETANIA,83
260190 BEZERROS,580
260200 BODOCO,205
260210 BOM CONSELHO,321
260220 BOM JARDIM,285
260230 BONITO,264
260240 BREJAO,59
260250 BREJINHO,58
260260 BREJO DA MADRE DE DEUS,347
260270 BUENOS AIRES,84
260280 BUIQUE,300
260290 CABO DE SANTO AGOSTINHO,1233
260300 CABROBO,182
260310 CACHOEIRINHA,162
260320 CAETES,160
260330 CALCADO,68
260340 CALUMBI,63
260345 CAMARAGIBE,1048
260350 CAMOCIM DE SAO FELIX,158
260360 CAMUTANGA,72
260370 CANHOTINHO,180
260380 CAPOEIRAS,138
260390 CARNAIBA,126
260392 CARNAUBEIRA DA PENHA,72
260400 CARPINA,535
260410 CARUARU,2446
260415 CASINHAS,81
260420 CATENDE,268
260430 CEDRO,57
260440 CHA DE ALEGRIA,71
260450 CHA GRANDE,138
260460 CONDADO,183
260470 CORRENTES,125
260480 CORTES,85
260490 CUMARU,122
260500 CUPIRA,218
260510 CUSTODIA,306
260515 DORMENTES,92
260520 ESCADA,490
260530 EXU,195
260540 FEIRA NOVA,193
260545 FERNANDO DE NORONHA,3
260550 FERREIROS,67
260560 FLORES,143
260570 FLORESTA,181
260580 FREI MIGUELINHO,131
260590 GAMELEIRA,151
260600 GARANHUNS,929
260610 GLORIA DO GOITA,174
260620 GOIANA,540
260630 GRANITO,40
260640 GRAVATA,617
260650 IATI,124
260660 IBIMIRIM,163
260670 IBIRAJUBA,58
260680 IGARASSU,661
260690 IGUARACY,86
260700 INAJA,99
260710 INGAZEIRA,29
260720 IPOJUCA,460
260730 IPUBI,172
260740 ITACURUBA,28
260750 ITAIBA,182
260760 ILHA DE ITAMARACA,114
260765 ITAMBE,229
260770 ITAPETIM,108
260775 ITAPISSUMA,146
260780 ITAQUITINGA,116
260790 JABOATAO DOS GUARARAPES,4045
260795 JAQUEIRA,66
260800 JATAUBA,141
260805 JATOBA,87
260810 JOAO ALFREDO,265
260820 JOAQUIM NABUCO,103
260825 JUCATI,65
260830 JUPI,131
260840 JUREMA,105
260845 LAGOA DO CARRO,129
260850 LAGOA DE ITAENGA,168
260860 LAGOA DO OURO,76
260870 LAGOA DOS GATOS,103
260875 LAGOA GRANDE,106
260880 LAJEDO,339
260890 LIMOEIRO,550
260900 MACAPARANA,198
260910 MACHADOS,98
260915 MANARI,92
260920 MARAIAL,49
260930 MIRANDIBA,109
260940 MORENO,372
260950 NAZARE DA MATA,260
260960 OLINDA,3075
260970 OROBO,165
260980 OROCO,57
260990 OURICURI,359
261000 PALMARES,505
261010 PALMEIRINA,64
261020 PANELAS,203
261030 PARANATAMA,89
261040 PARNAMIRIM,126
261050 PASSIRA,210
261060 PAUDALHO,329
261070 PAULISTA,2055
261080 PEDRA,149
261090 PESQUEIRA,580
261100 PETROLANDIA,186
261110 PETROLINA,1600
261120 POCAO,106
261130 POMBOS,155
261140 PRIMAVERA,74
261150 QUIPAPA,141
261153 QUIXABA,33
261160 RECIFE,11370
261170 RIACHO DAS ALMAS,163
261180 RIBEIRAO,284
261190 RIO FORMOSO,139
261200 SAIRE,73
261210 SALGADINHO,23
261220 SALGUEIRO,337
261230 SALOA,117
261240 SANHARO,155
261245 SANTA CRUZ,83
261247 SANTA CRUZ DA BAIXA VERDE,80
261250 SANTA CRUZ DO CAPIBARIBE,538
261255 SANTA FILOMENA,73
261260 SANTA MARIA DA BOA VISTA,192
261270 SANTA MARIA DO CAMBUCA,93
261280 SANTA TEREZINHA,65
261290 SAO BENEDITO DO SUL,74
261300 SAO BENTO DO UNA,390
261310 SAO CAITANO,316
261320 SAO JOAO,129
261330 SAO JOAQUIM DO MONTE,153
261340 SAO JOSE DA COROA GRANDE,130
261350 SAO JOSE DO BELMONTE,192
261360 SAO JOSE DO EGITO,274
261370 SAO LOURENCO DA MATA,639
261380 SAO VICENTE FERRER,113
261390 SERRA TALHADA,585
261400 SERRITA,88
261410 SERTANIA,258
261420 SIRINHAEM,204
261430 MOREILANDIA,40
261440 SOLIDAO,26
261450 SURUBIM,452
261460 TABIRA,183
261470 TACAIMBO,93
261480 TACARATU,105
261485 TAMANDARE,100
261500 TAQUARITINGA DO NORTE,174
261510 TEREZINHA,42
261520 TERRA NOVA,62
261530 TIMBAUBA,426
261540 TORITAMA,241
261550 TRACUNHAEM,71
261560 TRINDADE,223
261570 TRIUNFO,143
261580 TUPANATINGA,129
261590 TUPARETAMA,77
261600 VENTUROSA,129
261610 VERDEJANTE,56
261618 VERTENTE DO LERIO,52
261620 VERTENTES,165
261630 VICENCIA,170
261640 VITORIA DE SANTO ANTAO,1036
261650 XEXEU,110
270010 AGUA BRANCA,126
270020 ANADIA,120
270030 ARAPIRACA,1512
270040 ATALAIA,226
270050 BARRA DE SANTO ANTONIO,87
270060 BARRA DE SAO MIGUEL,33
270070 BATALHA,139
270080 BELEM,30
270090 BELO MONTE,32
270100 BOCA DA MATA,146
270110 BRANQUINHA,61
270120 CACIMBINHAS,67
270130 CAJUEIRO,120
270135 CAMPESTRE,36
270140 CAMPO ALEGRE,167
270150 CAMPO GRANDE,56
270160 CANAPI,114
270170 CAPELA,95
270180 CARNEIROS,46
270190 CHA PRETA,34
270200 COITE DO NOIA,63
270210 COLONIA LEOPOLDINA,113
270220 COQUEIRO SECO,36
270230 CORURIPE,329
270235 CRAIBAS,119
270240 DELMIRO GOUVEIA,280
270250 DOIS RIACHOS,61
270255 ESTRELA DE ALAGOAS,115
270260 FEIRA GRANDE,124
270270 FELIZ DESERTO,24
270280 FLEXEIRAS,81
270290 GIRAU DO PONCIANO,190
270300 IBATEGUARA,104
270310 IGACI,184
270320 IGREJA NOVA,148
270330 INHAPI,118
270340 JACARE DOS HOMENS,29
270350 JACUIPE,36
270360 JAPARATINGA,46
270370 JARAMATAIA,22
270375 JEQUIA DA PRAIA,47
270380 JOAQUIM GOMES,119
270390 JUNDIA,30
270400 JUNQUEIRO,130
270410 LAGOA DA CANOA,107
270420 LIMOEIRO DE ANADIA,135
270430 MACEIO,6207
270440 MAJOR ISIDORO,128
270450 MARAGOGI,130
270460 MARAVILHA,70
270470 MARECHAL DEODORO,296
270480 MARIBONDO,116
270490 MAR VERMELHO,17
270500 MATA GRANDE,96
270510 MATRIZ DE CAMARAGIBE,160
270520 MESSIAS,75
270530 MINADOR DO NEGRAO,28
270540 MONTEIROPOLIS,40
270550 MURICI,163
270560 NOVO LINO,68
270570 OLHO D'AGUA DAS FLORES,126
270580 OLHO D'AGUA DO CASADO,48
270590 OLHO D'AGUA GRANDE,39
270600 OLIVENCA,67
270610 OURO BRANCO,76
270620 PALESTINA,38
270630 PALMEIRA DOS INDIOS,647
270640 PAO DE ACUCAR,133
270642 PARICONHA,75
270644 PARIPUEIRA,66
270650 PASSO DE CAMARAGIBE,90
270660 PAULO JACINTO,56
270670 PENEDO,405
270680 PIACABUCU,103
270690 PILAR,230
270700 PINDOBA,25
270710 PIRANHAS,131
270720 POCO DAS TRINCHEIRAS,59
270730 PORTO CALVO,186
270740 PORTO DE PEDRAS,50
270750 PORTO REAL DO COLEGIO,91
270760 QUEBRANGULO,81
270770 RIO LARGO,457
270780 ROTEIRO,37
270790 SANTA LUZIA DO NORTE,39
270800 SANTANA DO IPANEMA,283
270810 SANTANA DO MUNDAU,82
270820 SAO BRAS,25
270830 SAO JOSE DA LAJE,158
270840 SAO JOSE DA TAPERA,182
270850 SAO LUIS DO QUITUNDE,188
270860 SAO MIGUEL DOS CAMPOS,339
270870 SAO MIGUEL DOS MILAGRES,29
270880 SAO SEBASTIAO,212
270890 SATUBA,82
270895 SENADOR RUI PALMEIRA,66
270900 TANQUE D'ARCA,35
270910 TAQUARANA,139
270915 TEOTONIO VILELA,230
270920 TRAIPU,135
270930 UNIAO DOS PALMARES,450
270940 VICOSA,132
280010 AMPARO DE SAO FRANCISCO,12
280020 AQUIDABA,140
280030 ARACAJU,3569
280040 ARAUA,66
280050 AREIA BRANCA,119
280060 BARRA DOS COQUEIROS,183
280067 BOQUIM,174
280070 BREJO GRANDE,46
280100 CAMPO DO BRITO,147
280110 CANHOBA,26
280120 CANINDE DE SAO FRANCISCO,147
280130 CAPELA,212
280140 CARIRA,150
280150 CARMOPOLIS,80
280160 CEDRO DE SAO JOAO,66
280170 CRISTINAPOLIS,101
280190 CUMBE,20
280200 DIVINA PASTORA,28
280210 ESTANCIA,430
280220 FEIRA NOVA,42
280230 FREI PAULO,95
280240 GARARU,49
280250 GENERAL MAYNARD,15
280260 GRACHO CARDOSO,29
280270 ILHA DAS FLORES,45
280280 INDIAROBA,90
280290 ITABAIANA,662
280300 ITABAIANINHA,243
280310 ITABI,39
280320 ITAPORANGA D'AJUDA,203
280330 JAPARATUBA,110
280340 JAPOATA,88
280350 LAGARTO,643
280360 LARANJEIRAS,172
280370 MACAMBIRA,46
280380 MALHADA DOS BOIS,21
280390 MALHADOR,84
280400 MARUIM,129
280410 MOITA BONITA,75
280420 MONTE ALEGRE DE SERGIPE,74
280430 MURIBECA,52
280440 NEOPOLIS,128
280445 NOSSA SENHORA APARECIDA,52
280450 NOSSA SENHORA DA GLORIA,172
280460 NOSSA SENHORA DAS DORES,182
280470 NOSSA SENHORA DE LOURDES,36
280480 NOSSA SENHORA DO SOCORRO,935
280490 PACATUBA,67
280500 PEDRA MOLE,20
280510 PEDRINHAS,68
280520 PINHAO,38
280530 PIRAMBU,47
280540 POCO REDONDO,159
280550 POCO VERDE,163
280560 PORTO DA FOLHA,152
280570 PROPRIA,199
